,Año,Semestre,Cantidad víctimas,Población Total,Tasa semestral
0,2016,1,65,3005929.0,2.1623930571879777
1,2016,2,81,3005929.0,2.694674425111172
2,2017,1,69,3025225.33333333,2.280821836301783
3,2017,2,71,3025225.33333333,2.346932614165603
4,2018,1,70,3044521.66666666,2.2992117535704892
5,2018,2,79,3044521.66666666,2.5948246933152666
6,2019,1,57,3063817.99999999,1.8604238241305515
7,2019,2,47,3063817.99999999,1.5340336795462444
8,2020,1,31,3083114.33333332,1.005476821434781
9,2020,2,50,3083114.33333332,1.6217368087657755
10,2021,1,55,3102410.66666665,1.7728149464846354
11,2021,2,42,3102410.66666665,1.3537859591337218
